# Wall heat-flux
# Time          	patch           	min             	max             	integral        
118             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
119             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
120             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
121             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
122             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
123             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
124             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
125             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
126             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
127             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
128             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
129             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
130             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
131             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
132             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
133             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
134             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
135             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
136             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
137             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
138             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
139             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
140             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
141             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
142             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
143             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
144             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
145             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
146             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
147             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
148             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
149             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
150             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
151             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
152             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
153             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
154             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
155             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
156             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
157             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
158             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
159             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
160             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
161             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
162             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
163             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
164             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
165             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
166             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
167             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
