# Wall heat-flux
# Time          	patch           	min             	max             	integral        
158             	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
159             	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
160             	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
161             	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
162             	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
163             	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
164             	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
165             	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
166             	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
167             	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
168             	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
169             	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
170             	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
171             	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
172             	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
173             	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
174             	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
175             	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
176             	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
177             	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
178             	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
179             	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
180             	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
181             	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
182             	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
183             	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
184             	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
185             	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
186             	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
187             	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
188             	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
189             	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
190             	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
191             	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
192             	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
193             	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
194             	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
195             	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
196             	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
197             	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
198             	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
199             	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
200             	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
201             	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
202             	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
203             	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
204             	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
205             	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
206             	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
207             	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
208             	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
209             	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
210             	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
211             	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
212             	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
213             	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
214             	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
215             	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
216             	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
217             	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
218             	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
219             	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
220             	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
221             	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
222             	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
223             	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
224             	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
