# Wall heat-flux
# Time          	patch           	min             	max             	integral        
139             	chipFace	-4.45000031e-06	-4.45000031e-06	-1.78000012e-09
140             	chipFace	-4.45000031e-06	-4.45000031e-06	-1.78000012e-09
141             	chipFace	-4.45000031e-06	-4.45000031e-06	-1.78000012e-09
142             	chipFace	-4.45000031e-06	-4.45000031e-06	-1.78000012e-09
143             	chipFace	-4.45000031e-06	-4.45000031e-06	-1.78000012e-09
144             	chipFace	-4.45000031e-06	-4.45000031e-06	-1.78000012e-09
145             	chipFace	-4.45000031e-06	-4.45000031e-06	-1.78000012e-09
146             	chipFace	-4.45000031e-06	-4.45000031e-06	-1.78000012e-09
147             	chipFace	-4.45000031e-06	-4.45000031e-06	-1.78000012e-09
148             	chipFace	-4.45000031e-06	-4.45000031e-06	-1.78000012e-09
149             	chipFace	-4.45000031e-06	-4.45000031e-06	-1.78000012e-09
150             	chipFace	-4.45000031e-06	-4.45000031e-06	-1.78000012e-09
151             	chipFace	-4.45000031e-06	-4.45000031e-06	-1.78000012e-09
152             	chipFace	-4.45000031e-06	-4.45000031e-06	-1.78000012e-09
153             	chipFace	-4.45000031e-06	-4.45000031e-06	-1.78000012e-09
154             	chipFace	-4.45000031e-06	-4.45000031e-06	-1.78000012e-09
155             	chipFace	-4.45000031e-06	-4.45000031e-06	-1.78000012e-09
156             	chipFace	-4.45000031e-06	-4.45000031e-06	-1.78000012e-09
157             	chipFace	-4.45000031e-06	-4.45000031e-06	-1.78000012e-09
158             	chipFace	-4.45000031e-06	-4.45000031e-06	-1.78000012e-09
159             	chipFace	-4.45000031e-06	-4.45000031e-06	-1.78000012e-09
160             	chipFace	-4.45000031e-06	-4.45000031e-06	-1.78000012e-09
161             	chipFace	-4.45000031e-06	-4.45000031e-06	-1.78000012e-09
162             	chipFace	-4.45000031e-06	-4.45000031e-06	-1.78000012e-09
163             	chipFace	-4.45000031e-06	-4.45000031e-06	-1.78000012e-09
164             	chipFace	-4.45000031e-06	-4.45000031e-06	-1.78000012e-09
165             	chipFace	-4.45000031e-06	-4.45000031e-06	-1.78000012e-09
166             	chipFace	-4.45000031e-06	-4.45000031e-06	-1.78000012e-09
167             	chipFace	-4.45000031e-06	-4.45000031e-06	-1.78000012e-09
168             	chipFace	-4.45000031e-06	-4.45000031e-06	-1.78000012e-09
169             	chipFace	-4.45000031e-06	-4.45000031e-06	-1.78000012e-09
170             	chipFace	-4.45000031e-06	-4.45000031e-06	-1.78000012e-09
171             	chipFace	-4.45000031e-06	-4.45000031e-06	-1.78000012e-09
172             	chipFace	-4.45000031e-06	-4.45000031e-06	-1.78000012e-09
173             	chipFace	-4.45000031e-06	-4.45000031e-06	-1.78000012e-09
174             	chipFace	-4.45000031e-06	-4.45000031e-06	-1.78000012e-09
175             	chipFace	-4.45000031e-06	-4.45000031e-06	-1.78000012e-09
176             	chipFace	-4.45000031e-06	-4.45000031e-06	-1.78000012e-09
177             	chipFace	-4.45000031e-06	-4.45000031e-06	-1.78000012e-09
178             	chipFace	-4.45000031e-06	-4.45000031e-06	-1.78000012e-09
179             	chipFace	-4.45000031e-06	-4.45000031e-06	-1.78000012e-09
180             	chipFace	-4.45000031e-06	-4.45000031e-06	-1.78000012e-09
181             	chipFace	-4.45000031e-06	-4.45000031e-06	-1.78000012e-09
182             	chipFace	-4.45000031e-06	-4.45000031e-06	-1.78000012e-09
183             	chipFace	-4.45000031e-06	-4.45000031e-06	-1.78000012e-09
184             	chipFace	-4.45000031e-06	-4.45000031e-06	-1.78000012e-09
185             	chipFace	-4.45000031e-06	-4.45000031e-06	-1.78000012e-09
186             	chipFace	-4.45000031e-06	-4.45000031e-06	-1.78000012e-09
187             	chipFace	-4.45000031e-06	-4.45000031e-06	-1.78000012e-09
188             	chipFace	-4.45000031e-06	-4.45000031e-06	-1.78000012e-09
189             	chipFace	-4.45000031e-06	-4.45000031e-06	-1.78000012e-09
190             	chipFace	-4.45000031e-06	-4.45000031e-06	-1.78000012e-09
191             	chipFace	-4.45000031e-06	-4.45000031e-06	-1.78000012e-09
192             	chipFace	-4.45000031e-06	-4.45000031e-06	-1.78000012e-09
193             	chipFace	-4.45000031e-06	-4.45000031e-06	-1.78000012e-09
194             	chipFace	-4.45000031e-06	-4.45000031e-06	-1.78000012e-09
195             	chipFace	-4.45000031e-06	-4.45000031e-06	-1.78000012e-09
196             	chipFace	-4.45000031e-06	-4.45000031e-06	-1.78000012e-09
197             	chipFace	-4.45000031e-06	-4.45000031e-06	-1.78000012e-09
198             	chipFace	-4.45000031e-06	-4.45000031e-06	-1.78000012e-09
199             	chipFace	-4.45000031e-06	-4.45000031e-06	-1.78000012e-09
200             	chipFace	-4.45000031e-06	-4.45000031e-06	-1.78000012e-09
201             	chipFace	-4.45000031e-06	-4.45000031e-06	-1.78000012e-09
202             	chipFace	-4.45000031e-06	-4.45000031e-06	-1.78000012e-09
203             	chipFace	-4.45000031e-06	-4.45000031e-06	-1.78000012e-09
204             	chipFace	-4.45000031e-06	-4.45000031e-06	-1.78000012e-09
205             	chipFace	-4.45000031e-06	-4.45000031e-06	-1.78000012e-09
206             	chipFace	-4.45000031e-06	-4.45000031e-06	-1.78000012e-09
207             	chipFace	-4.45000031e-06	-4.45000031e-06	-1.78000012e-09
208             	chipFace	-4.45000031e-06	-4.45000031e-06	-1.78000012e-09
209             	chipFace	-4.45000031e-06	-4.45000031e-06	-1.78000012e-09
210             	chipFace	-4.45000031e-06	-4.45000031e-06	-1.78000012e-09
211             	chipFace	-4.45000031e-06	-4.45000031e-06	-1.78000012e-09
212             	chipFace	-4.45000031e-06	-4.45000031e-06	-1.78000012e-09
213             	chipFace	-4.45000031e-06	-4.45000031e-06	-1.78000012e-09
214             	chipFace	-4.45000031e-06	-4.45000031e-06	-1.78000012e-09
215             	chipFace	-4.45000031e-06	-4.45000031e-06	-1.78000012e-09
216             	chipFace	-4.45000031e-06	-4.45000031e-06	-1.78000012e-09
217             	chipFace	-4.45000031e-06	-4.45000031e-06	-1.78000012e-09
